,title,year,budget_2013$,intgross_2013$
598,Indiana Jones and the Kingdom of the Crystal Skull,2008,200217418,851257517.0
599,Inkheart,2008,64935379,62826552.0
600,Iron Man,2008,201299674,630352749.0
601,Journey to the Center of the Earth,2008,48701534,260720275.0
602,Jumper,2008,89286146,241465674.0
603,Kung Fu Panda,2008,140693320,683889160.0
604,L&aring;t den r&auml;tte komma in (Let the Right One In),2008,4870153,13255131.0
605,Made of Honor,2008,43290252,115313044.0
606,Max Payne,2008,37878971,92816237.0
607,Meet Dave,2008,64935379,54814990.0
608,Milk,2008,21645126,62006112.0
609,Miracle at St. Anna,2008,48701534,9859851.0
610,Nick and Norah&#39;s Infinite Playlist,2008,10822563,36303849.0
611,Nim&#39;s Island,2008,40043484,101820495.0
612,Pineapple Express,2008,28138664,109902346.0
613,Pontypool,2008,1623384,34541.0
614,Possession,2008,27056408,16023683.0
615,Prom Night,2008,19480614,61807319.0
616,Quantum of Solace,2008,248918952,640362486.0
617,Quarantine,2008,12987076,44688323.0
618,Rachel Getting Married,2008,12987076,14423083.0
619,Revolutionary Road,2008,48701534,86109680.0
620,RocknRolla,2008,19480614,30080599.0
621,Seven Pounds,2008,58441841,180322655.0
622,Sex and the City,2008,62229738,449403966.0
623,Slumdog Millionaire,2008,15151588,416148834.0
624,Speed Racer,2008,129870757,101076746.0
626,Step Brothers,2008,70346660,139036162.0
627,Sunshine Cleaning,2008,5411282,17816707.0
628,"Synecdoche, New York",2008,21645126,4744112.0
629,Taken,2008,27056408,245608963.0
630,The Bank Job,2008,21645126,71583685.0
631,The Brothers Bloom,2008,21645126,5986778.0
632,The Chronicles of Narnia: Prince Caspian,2008,243507670,453996009.0
633,The Curious Case of Benjamin Button,2008,173161010,356938225.0
634,The Dark Knight,2008,200217418,1085385502.0
635,The Day the Earth Stood Still,2008,86580505,252238208.0
636,The Eye,2008,12987076,61600619.0
637,The Forbidden Kingdom,2008,59524097,139692526.0
638,The House Bunny,2008,27056408,76014858.0
639,The Hurt Locker,2008,16233845,53998338.0
640,The Incredible Hulk,2008,148810243,285085699.0
641,The Lucky Ones,2008,15151588,288927.0
642,The Other Boleyn Girl,2008,43290252,84107503.0
643,The Reader,2008,35173330,122315840.0
644,The Secret Life of Bees,2008,11904819,43272961.0
645,The Sisterhood of the Traveling Pants 2,2008,29220920,47911629.0
646,The Strangers,2008,9740307,89883201.0
647,The Tale of Despereaux,2008,64935379,97925059.0
648,The Women,2008,17316101,54225162.0
649,The Wrestler,2008,6493538,50470238.0
650,Three Kingdoms: Resurrection of the Dragon,2008,21645126,23960711.0
651,Transsiberian,2008,16233845,6904335.0
652,Tropic Thunder,2008,97403068,203641087.0
653,Twilight,2008,40043484,430655689.0
654,Valkyrie,2008,97403068,220674342.0
655,Vicky Cristina Barcelona,2008,17316101,113100998.0
656,WALL-E,2008,194806136,576399965.0
657,Waltz with Bashir,2008,2164513,12040820.0
658,Wanted,2008,81169223,370582375.0
659,"Welcome Home, Roscoe Jenkins",2008,29762049,47194630.0
660,Wendy and Lucy,2008,324677,1532525.0
661,What Happens In Vegas,2008,37878971,236511649.0
662,Yes Man,2008,54112816,244580160.0
663,[Rec],2007,2359441,30468201.0
664,1408,2007,25279728,147480104.0
665,28 Weeks Later,2007,16853152,72168247.0
666,3:10 to Yuma,2007,53930087,79964640.0
667,30 Days of Night,2007,33706305,90193752.0
668,88 Minutes,2007,33706305,37026824.0
669,Across the Universe,2007,50559457,32995262.0
670,Atonement,2007,33706305,146285687.0
671,Becoming Jane,2007,18538467,44228231.0
672,Beowulf,2007,168531522,219085603.0
673,Blades of Glory,2007,68536152,163581806.0
674,Bridge to Terabithia,2007,28088587,155031909.0
675,Brooklyn Rules,2007,8988348,514844.0
676,Charlie Bartlett,2007,13482522,5950184.0
677,Charlie Wilson&#39;s War,2007,84265761,134277795.0
678,Death at a Funeral,2007,23594413,55028051.0
679,Diary of the Dead,2007,3089745,6060896.0
680,Disturbia,2007,22470870,132098426.0
681,Eastern Promises,2007,56177174,62207616.0
682,Enchanted,2007,95501196,382436383.0
683,Fantastic Four: Rise of the Silver Surfer,2007,134825218,323822443.0
684,Gone Baby Gone,2007,21347326,38896737.0
685,Hairspray,2007,84265761,227935344.0
686,Halloween,2007,16853152,87090800.0
687,Hannibal Rising,2007,56177174,90538854.0
688,Harry Potter and the Order of the Phoenix,2007,168531522,1059438513.0
689,Hitman,2007,19662011,112315914.0
690,Hostel: Part II,2007,8426576,37758262.0
691,Hot Fuzz,2007,17976696,91841386.0
692,Hot Rod,2007,28088587,16105323.0
693,I Am Legend,2007,168531522,657733649.0
694,Into the Wild,2007,22470870,63362472.0
695,Juno,2007,7864804,260044254.0
696,Knocked Up,2007,30897446,246229599.0
697,Lars and the real Girl,2007,14044294,11857251.0
698,Live Free or Die Hard,2007,123589783,430914277.0
699,Michael Clayton,2007,24156185,104475669.0
700,Music and Lyrics,2007,44941739,162937935.0
701,No Country for Old Men,2007,28088587,184318713.0
702,No Reservations,2007,31459218,102990511.0
703,Paranormal Activity,2007,505595,218173082.0
704,Persepolis,2007,8201867,25552185.0
705,Pirates of the Caribbean: At World&#39;s End,2007,337063045,1079721346.0
706,Premonition,2007,22470870,91525361.0
707,Ratatouille,2007,168531522,703955827.0
708,Resident Evil: Extinction,2007,50559457,164220396.0
709,Rush Hour 3,2007,202237827,284285677.0
710,Shooter,2007,67412609,107527136.0
711,Shrek the Third,2007,179766957,907071412.0
712,St. Trinian&#39;s,2007,12808396,25219695.0
713,Stardust,2007,78648044,152303819.0
714,Sunshine,2007,44941739,35987783.0
715,Superbad,2007,19662011,190848721.0
716,Sydney White,2007,18538467,15321020.0
717,Teeth,2007,2247087,2641047.0
718,The Bucket List,2007,50559457,195845194.0
719,The Golden Compass,2007,230326414,418222056.0
720,The Kite Runner,2007,22470870,83345293.0
722,The Messengers,2007,17976696,60418363.0
723,The Mist,2007,14606065,61544892.0
724,The Number 23,2007,35953391,87179297.0
725,The Savages,2007,10111891,11956776.0
726,The Signal,2007,56177,456495.0
727,The Simpsons Movie,2007,81456903,592187212.0
728,The Visitor,2007,4494174,21543741.0
729,There Will Be Blood,2007,28088587,86747344.0
730,TMNT,2007,39324022,107968055.0
731,Transformers,2007,169655066,795775055.0
732,Tropa de Elite,2007,7345604,16088238.0
733,Waitress,2007,1685315,24961971.0
734,We Own the Night,2007,31459218,62140782.0
735,White Noise 2: The Light,2007,11235435,9262006.0
736,300,2006,69347781,524918705.0
737,A Scanner Darkly,2006,23115927,8558769.0
738,Akeelah and the Bee,2006,9246371,21913233.0
739,Aquamarine,2006,13869556,26558990.0
740,Bandidas,2006,40452872,21266653.0
741,Black Christmas,2006,10402167,18765207.0
742,Blood Diamond,2006,115579635,198077969.0
743,"Bon Cop, Bad Cop",2006,9246371,14645442.0
744,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,20804334,302324822.0
745,Bug,2006,4623185,8098328.0
746,Cars,2006,80905744,533594150.0
747,Casino Royale,2006,117891227,689276488.0
748,Children of Men,2006,87840522,80270290.0
749,Clerks II,2006,5778982,29928737.0
750,Crank,2006,13869556,50768266.0
751,Das Leben Der Anderen,2006,2311593,93847250.0
752,DOA: Dead or Alive,2006,34673890,8964615.0
753,El laberinto del fauno (Pan's Labyrinth),2006,18492742,100602327.0
754,Eragon,2006,115579635,288357452.0
755,Fido,2006,9246371,485204.0
756,Final Destination 3,2006,28894909,130371575.0
757,Flushed Away,2006,172213656,205345335.0
758,For Your Consideration,2006,13869556,6414581.0
759,Friends with Money,2006,7512676,20247613.0
760,Ice Age: The Meltdown,2006,86684726,753462808.0
761,Idlewild,2006,17336945,14643840.0
762,Inside Man,2006,57789817,213399577.0
763,Jackass Number Two,2006,12713760,98564824.0
764,Lady in the Water,2006,86684726,84124832.0
765,Last Holiday,2006,52010836,50095967.0
766,Letters from Iwo Jima,2006,15025353,79468028.0
767,Little Children,2006,16181149,17063043.0
768,Little Miss Sunshine,2006,9246371,116216452.0
769,London To Brighton,2006,953532,705933.0
770,Lucky Number Slevin,2006,31206501,64141457.0
771,Man of the Year,2006,23115927,47783141.0
772,Marie Antoinette,2006,46231854,70344622.0
773,Miss Potter,2006,34673890,41482984.0
774,Monster House,2006,86684726,163276310.0
775,Nacho Libre,2006,36985483,114766488.0
776,Night at the Museum,2006,127137598,663982857.0
777,Notes on a Scandal,2006,31784400,57503632.0
778,Once,2006,173369,21956864.0
779,Open Season,2006,98242689,219487695.0
780,Paris je t&#39;aime,2006,15025353,5614135.0
781,Perfume: The Story of a Murderer,2006,73624227,154418394.0
782,Pirates of the Caribbean: Dead Man&#39;s Chest,2006,260054178,1225855881.0
783,Poseidon,2006,184927415,209979090.0
784,Quinceanera,2006,462319,2915828.0
785,Rang De Basanti,2006,6125721,33746588.0
786,Running with Scissors,2006,13869556,10063173.0
787,She&#39;s the Man,2006,28894909,63891969.0
788,Sherrybaby,2006,2311593,719837.0
789,Shortbus,2006,2311593,2294593.0
790,Silent Hill,2006,57789817,115559561.0
791,Slither,2006,17625894,14944843.0
792,Smokin&#39; Aces,2006,19648538,64779219.0
793,Snakes on a Plane,2006,38141279,71683430.0
794,Southland Tales,2006,19648538,421411.0
795,Stick It,2006,23115927,35135878.0
796,Stranger Than Fiction,2006,34673890,52282667.0
797,Superman Returns,2006,268144752,451770741.0
798,Take the Lead,2006,34673890,75578093.0
799,The Ant Bully,2006,52010836,57340095.0
800,The Break Up,2006,60101410,234562168.0
801,The Da Vinci Code,2006,144474543,887444081.0
802,The Dead Girl,2006,3814128,22971.0
803,The Departed,2006,104021671,335803963.0
804,The Devil Wears Prada,2006,40452872,377426561.0
805,The Fountain,2006,40452872,17870505.0
806,The Grudge 2,2006,23115927,81765471.0
807,The History Boys,2006,4276446,15517247.0
808,The Holiday,2006,98242689,237158227.0
809,The Host,2006,57789817,67253922.0
810,The Illusionist,2006,19070640,96846559.0
811,The Lake House,2006,46231854,132720223.0
812,The Painted Veil,2006,22422449,17474248.0
813,The Prestige,2006,46231854,124705810.0
814,The Pursuit of Happyness,2006,63568799,355205844.0
815,The Queen,2006,17336945,148965821.0
816,The Wind That Shakes the Barley,2006,9593110,29669493.0
817,Ultraviolet,2006,34673890,23950486.0
818,Volver,2006,10864486,98936014.0
819,We Are Marshall,2006,75126763,50329573.0
820,When a Stranger Calls,2006,17336945,77374176.0
821,Wristcutters: A Love Story,2006,1155796,531824.0
822,X-Men: The Last Stand,2006,242717233,530926095.0
823,"You, Me and Dupree",2006,62413003,150718167.0
824,Zoom,2006,40452872,14454606.0
825,Zwartboek,2006,25427520,31481990.0
826,AEon Flux,2005,65616822,57209924.0
827,Assault on Precinct 13,2005,35790994,42997982.0
828,Batman Begins,2005,178954969,445357804.0
829,Beauty Shop,2005,29825828,45754431.0
830,Bewitched,2005,95442650,156477397.0
831,BloodRayne,2005,29825828,4301386.0
832,Boogeyman,2005,23860663,80163307.0
833,Boynton Beach Club,2005,3459796,3731178.0
834,Brick,2005,536865,4876515.0
835,Brokeback Mountain,2005,16583160,207704444.0
836,Capote,2005,8351232,59561080.0
837,Charlie and the Chocolate Factory,2005,178954969,566045396.0
838,Chinjeolhan geumjassi,2005,5368649,28002720.0
839,Cinderella Man,2005,104986915,129491710.0
840,Coach Carter,2005,53686491,91469619.0
841,Constantine,2005,89477485,275453129.0
842,Conversations with Other Women,2005,536865,1084540.0
843,Corpse Bride,2005,35790994,136925192.0
844,Cursed,2005,41756160,29962909.0
845,Danny the dog,2005,51300425,58503506.0
846,Dark Water,2005,71581988,59023039.0
847,Dear Wendy,2005,9544265,532615.0
848,Domino,2005,59651656,27403019.0
849,Doom,2005,83512319,65154327.0
850,Fantastic Four,2005,104390399,394556433.0
851,Flightplan,2005,65616822,269275914.0
852,Fun with Dick and Jane,2005,167024638,240751838.0
853,"Good Night, and Good Luck.",2005,8351232,67510048.0
854,Hard Candy,2005,1133381,9862884.0
855,Harry Potter and the Goblet of Fire,2005,178954969,1070044630.0
856,Herbie Fully Loaded,2005,59651656,171928818.0
857,Hide and Seek,2005,29825828,146862958.0
858,Hitch,2005,65616822,437585770.0
859,Hoodwinked!,2005,20878080,131046803.0
860,Hostel,2005,5726559,98116369.0
861,Hustle &amp; Flow,2005,3340493,28112307.0
862,Ice Princess,2005,29825828,30699527.0
863,Jarhead,2005,85898385,115661627.0
864,Junebug,2005,1193033,4244757.0
865,Just Like Heaven,2005,69195921,120123026.0
866,King Kong,2005,246957858,656785445.0
867,Kingdom of Heaven,2005,131233644,261099301.0
868,Kiss Kiss Bang Bang,2005,17895497,15635698.0
869,Lord of War,2005,50107391,74138215.0
870,Madagascar,2005,89477485,663994001.0
871,Man of the House,2005,59651656,26365681.0
872,Match Point,2005,17895497,104974897.0
873,Me and You and Everyone We Know,2005,2386066,10051933.0
874,Memoirs of a Geisha,2005,101407816,192687798.0
875,MirrorMask,2005,4772133,1149158.0
876,Miss Congeniality 2: Armed &amp; Fabulous,2005,71581988,120952557.0
877,Mr. &amp; Mrs. Smith,2005,131233644,570671028.0
878,Munich,2005,89477485,155427270.0
879,North Country,2005,35790994,30093356.0
880,Oliver Twist,2005,77547153,31819291.0
881,Pride and Prejudice,2005,33404928,144259786.0
882,Proof,2005,23860663,9883481.0
883,Red Eye,2005,31018861,114001241.0
884,Rent,2005,47721325,37784099.0
885,Robots,2005,95442650,311023751.0
886,Saw II,2005,5965166,182444702.0
887,Serenity,2005,46528292,45949095.0
888,Shopgirl,2005,8947748,14028182.0
889,Sin City,2005,47721325,189398567.0
890,Sisters in Law,2005,357910,39742.0
891,Sky High,2005,71581988,97384257.0
892,Son of the Mask,2005,119303313,71484662.0
893,Star Wars: Episode III - Revenge of the Sith,2005,137198810,1012883787.0
894,Stealth,2005,164638572,91167710.0
895,Strangers with Candy,2005,2386066,2478937.0
896,Thank You for Smoking,2005,8947748,47741203.0
897,The 40 Year Old Virgin,2005,31018861,211596412.0
898,The Adventures of Sharkboy and Lavagirl 3-D,2005,59651656,82827477.0
899,The Amityville Horror,2005,22071113,130250195.0
900,The Ballad of Jack and Rose,2005,1789550,1343663.0
901,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,214745963,893351507.0
902,The Constant Gardener,2005,30422345,96730885.0
903,The Descent,2005,8351232,68038213.0
904,The Devil&#39;s Rejects,2005,8351232,24982624.0
905,The Exorcism of Emily Rose,2005,21474596,172497916.0
906,The Fog,2005,21474596,44200119.0
907,The Hitchhiker&#39;s Guide to the Galaxy,2005,53686491,124098247.0
908,The Island,2005,143163975,194486964.0
909,The Jacket,2005,34001444,18435915.0
910,The Legend of Zorro,2005,95442650,168784763.0
911,The New World,2005,35790994,31238857.0
912,The Ring Two,2005,59651656,193201845.0
913,The Skeleton Key,2005,47721325,110065560.0
914,The Squid and the Whale,2005,1789550,13351738.0
915,The Wedding Date,2005,17895497,56281383.0
916,Transamerica,2005,1193033,19748472.0
917,Tristram Shandy: A Cock and Bull Story,2005,5666907,3652785.0
918,V for Vendetta,2005,59651656,154177511.0
919,Waiting...,2005,1342162,22277835.0
920,Walk the Line,2005,34597961,223941260.0
921,War of the Worlds,2005,157480373,723976090.0
922,Water,2005,3579099,9686481.0
923,White Noise,2005,11930331,109871622.0
924,"Yours, Mine and Ours",2005,53686491,86327778.0
925,Zathura: A Space Adventure,2005,77547153,69846769.0
926,13 Going on 30,2004,36995786,118928779.0
927,2046,2004,14798315,23680825.0
928,50 First Dates,2004,92489466,242105970.0
929,A Cinderella Story,2004,23430665,86407246.0
930,A Home at the End of The World,2004,8015754,1274887.0
931,A Very Long Engagement,2004,67825608,73506419.0
932,Anchorman: The Legend of Ron Burgundy,2004,30829822,110205951.0
933,Around the World in 80 Days,2004,135651216,88795016.0
934,AVP: Alien vs. Predator,2004,86323501,212779439.0
935,Banlieue 13,2004,18497893,13821985.0
936,Before Sunset,2004,2466386,13927421.0
937,Bridget Jones: The Edge of Reason,2004,61659644,325432881.0
938,Catwoman,2004,123319288,101301096.0
939,Cellular,2004,55493679,75811746.0
940,Closer,2004,43161751,142404808.0
941,Collateral,2004,73991573,268429281.0
942,Connie and Carla,2004,24663858,9924151.0
943,Crash,2004,9006109,124765870.0
944,D.E.B.S.,2004,4316175,119364.0
945,Dawn of the Dead,2004,34529401,127577349.0
946,Dodgeball: A True Underdog Story,2004,36995786,206919534.0
947,Ella Enchanted,2004,43161751,28256983.0
948,Eternal Sunshine of the Spotless Mind,2004,24663858,90014995.0
949,Eulogy,2004,12331929,86973.0
950,Finding Neverland,2004,30829822,141861709.0
951,Flight of the Phoenix,2004,92489466,41939879.0
952,Garden State,2004,3082982,44430462.0
953,Harold and Kumar Go to White Castle,2004,11098736,22475144.0
954,Harry Potter and the Prisoner of  Azkaban,2004,160315074,982470644.0
955,Hellboy,2004,73991573,123102194.0
956,Home on the Range,2004,135651216,94317626.0
957,I Heart Huckabees,2004,27130243,24706665.0
958,"I, Robot",2004,129485252,429892298.0
959,In Good Company,2004,32063015,78295110.0
960,Kinsey,2004,13565122,16032690.0
961,Kung Fu Hustle,2004,24663858,124558238.0
962,Layer Cake,2004,8015754,14613600.0
963,Lemony Snicket&#39;s A Series of Unfortunate Events,2004,123319288,248645124.0
964,Maria Full of Grace,2004,3946217,17808733.0
965,Mean Girls,2004,22197472,161490339.0
966,Million Dollar Baby,2004,36995786,286120974.0
967,Miracle,2004,34529401,79509747.0
968,My Summer of Love,2004,2096428,6106125.0
969,Napoleon Dynamite,2004,493277,56878201.0
970,New York Minute,2004,49327715,26163275.0
971,Primer,2004,8632,697797.0
972,Raising Helen,2004,61659644,53446952.0
973,Ray,2004,49327715,153930950.0
974,Resident Evil: Apocalypse,2004,61659644,159007986.0
975,Saved!,2004,6165964,12613378.0
976,Saw,2004,1479831,127137678.0
977,Secret Window,2004,49327715,113591309.0
978,Shark Tale,2004,92489466,453599307.0
979,Shaun of the Dead,2004,6165964,37405681.0
980,Shrek 2,2004,86323501,1155511754.0
981,Sideways,2004,20964279,135496025.0
982,Sky Captain and the World of Tomorrow,2004,86323501,61327735.0
983,Spanglish,2004,92489466,67017030.0
984,Spider-Man 2,2004,246638575,966459425.0
985,Team America: World Police,2004,24663858,61998567.0
986,The Aviator,2004,135651216,264654077.0
987,The Bourne Supremacy,2004,104821395,355883988.0
988,The Butterfly Effect,2004,16031507,118444284.0
989,The Chronicles of Riddick,2004,147983145,132214001.0
990,The Day After Tomorrow,2004,154149110,686049183.0
991,The Grudge,2004,12331929,230953737.0
992,The Incredibles,2004,113453745,779510522.0
993,The Life Aquatic with Steve Zissou,2004,61659644,42923407.0
994,The Notebook,2004,36995786,126127005.0
995,The Phantom of the Opera,2004,67825608,195122925.0
996,The Polar Express,2004,209642789,393449767.0
997,The Princess Diaries 2: Royal Engagement,2004,55493679,150537624.0
998,The Stepford Wives,2004,123319288,118660249.0
999,The Terminal,2004,92489466,269667169.0
1000,The Village,2004,88398934,317721828.0
1001,The Whole Ten Yards,2004,36995786,32462531.0
1002,Troy,2004,184978932,597064223.0
1003,Van Helsing,2004,209642789,370143515.0
1004,Vera Drake,2004,13565122,16467879.0
1005,White Chicks,2004,24663858,137438109.0
1006,Wimbledon,2004,43161751,51382801.0
1007,2 Fast 2 Furious,2003,96222609,299075134.0
1008,21 grams,2003,25321739,75544402.0
1009,Big Fish,2003,88626087,156276743.0
1010,Bon voyage,2003,25321739,10586685.0
1011,Bruce Almighty,2003,102553043,612120077.0
1012,Charlie&#39;s Angels: Full Throttle,2003,151930435,287654957.0
1013,Cold Mountain,2003,101286957,204640944.0
1014,Cradle 2 the Grave,2003,31652174,71451544.0
1015,Daddy Day Care,2003,75965217,207999839.0
1016,Daredevil,2003,101286957,231418562.0
1017,Darkness Falls,2003,8862609,41198066.0
1018,Dreamcatcher,2003,86093913,95824131.0
1019,Final Destination 2,2003,32918261,114450037.0
1020,Finding Nemo,2003,119012174,1147664217.0
1021,Freaky Friday,2003,32918261,203615191.0
1022,Girl with a Pearl Earring,2003,15193043,54798208.0
1023,Goodbye Lenin!,2003,8102957,100507729.0
1024,Holes,2003,25321739,91644342.0
1025,Hollywood Homicide,2003,94956522,64706900.0
1026,House of Sand and Fog,2003,20890435,20457336.0
1027,How to Lose a Guy in 10 Days,2003,63304348,224198644.0
1028,Hulk,2003,173453913,310481535.0
1029,Identity,2003,35450435,104051689.0
1030,In the Cut,2003,15193043,29998216.0
1031,Jeepers Creepers II,2003,31652174,45102830.0
1032,Kill Bill: Vol. 1,2003,69634783,228019903.0
1033,Lara Croft Tomb Raider: The Cradle of Life,2003,113947826,198084062.0
1034,"Legally Blonde 2: Red, White &amp; Blonde",2003,31652174,158690184.0
1035,Les triplettes de Belleville,2003,2532174,18282439.0
1036,Lost In Translation,2003,5064348,142498954.0
1037,Love Actually,2003,56973913,313948928.0
1038,Master and Commander: The Far Side of the World,2003,170921739,269565280.0
1039,Mona Lisa Smile,2003,82295652,178778023.0
1040,Monster,2003,6330435,73437720.0
1041,Mystic River,2003,37982609,198566990.0
1042,Peter Pan,2003,126608696,120601727.0
1043,Pirates of the Caribbean: The Curse of the Black Pearl,2003,158260870,803907108.0
1044,Pride and Prejudice,2003,35450435,153093346.0
1045,S.W.A.T.,2003,88626087,262275924.0
1046,Scary Movie 3,2003,56973913,196496696.0
1047,Secondhand Lions,2003,37982609,60648814.0
1048,Shanghai Knights,2003,63304348,111816793.0
1049,Shattered Glass,2003,7596522,3713077.0
1050,Sinbad: Legend of the Seven Seas,2003,75965217,102259164.0
1051,Something&#39;s Gotta Give,2003,101286957,337646706.0
1052,Spy Kids 3-D: Game Over,2003,50643478,212515222.0
1053,Swimming Pool,2003,9875478,28412666.0
1054,Terminator 3: Rise of the Machines,2003,215234783,548289460.0
1055,The Core,2003,107617391,93858357.0
1056,The Italian Job,2003,75965217,223164081.0
1057,The Jungle Book 2,2003,25321739,171812557.0
1058,The Last Samurai,2003,177252174,578361911.0
1059,The League of Extraordinary Gentlemen,2003,98754783,226965337.0
1060,The Lord of the Rings: The Return of the King,2003,119012174,1445122625.0
1061,The Matrix Reloaded,2003,160793043,935102616.0
1062,The Matrix Revolutions,2003,139269565,537149747.0
1063,The Missing,2003,82295652,48432173.0
1064,The School of Rock,2003,25321739,166061455.0
1065,Thirteen,2003,2532174,12035418.0
1066,Timeline,2003,101286957,33808553.0
1067,Undead,2003,949565,290250.0
1068,Underworld,2003,27853913,121175229.0
1069,Wrong Turn,2003,12660870,36272829.0
1070,X2 (X-Men 2),2003,158260870,516198274.0
1071,25th Hour,2002,5828306,32825657.0
1072,28 Days Later...,2002,10361434,107442412.0
1073,8 femmes,2002,10361434,54885065.0
1074,8 Mile,2002,53102348,314630213.0
1075,About Schmidt,2002,38855376,137060380.0
1076,Adaptation,2002,23960815,29139615.0
1077,All or Nothing,2002,11656613,238643.0
1078,Antwone Fisher,2002,16189740,30265212.0
1079,Austin Powers in Goldmember,2002,81596291,379148984.0
1080,Bend It Like Beckham,2002,7253004,99379590.0
1081,Blade II,2002,69939678,199896148.0
1082,Blue Crush,2002,38855376,66855105.0
1083,Cabin Fever,2002,1942769,39310844.0
1084,Carrie,2002,38855376,110092382.0
1085,Catch Me If You Can,2002,67349319,454746230.0
1086,Chicago,2002,38855376,398510478.0
1087,Crossroads,2002,15542151,73825215.0
1088,Death to Smoochy,2002,64758961,10845911.0
1089,Die Another Day,2002,183915449,559442481.0
1090,Drumline,2002,25903584,73045727.0
1091,Equilibrium,2002,25903584,6923858.0
1092,Far from Heaven,2002,17484919,37596351.0
1093,Frida,2002,15542151,72155308.0
1094,Funny Ha Ha,2002,38855,99819.0
1095,Gangs of New York,2002,125632384,246602123.0
1096,Gerry,2002,9066255,329860.0
1097,Harry Potter and the Chamber of Secrets,2002,129517922,1138436153.0
1098,High Crimes,2002,54397527,82607955.0
1099,I Spy,2002,90662545,78073173.0
1100,Ice Age,2002,84186649,500089862.0
1101,Igby Goes Down,2002,11656613,6187673.0
1102,Insomnia,2002,59578244,147161499.0
1103,Lilo and Stitch,2002,103614337,318355051.0
1104,Maid in Manhattan,2002,71234857,212199853.0
1105,May,2002,2266564,644143.0
1106,Men in Black II,2002,181325090,572168477.0
1107,Minority Report,2002,132108280,464742312.0
1108,Mr Deeds,2002,64758961,221824742.0
1109,My Big Fat Greek Wedding,2002,6475896,456217193.0
1110,Panic Room,2002,62168602,254254517.0
1111,Phone Booth,2002,14246971,126716628.0
1112,Queen of the Damned,2002,45331273,39254038.0
1113,Rabbit-Proof Fence,2002,9066255,21845695.0
1114,Real Women Have Curves,2002,3885538,7580935.0
1115,Red Dragon,2002,101023979,267396769.0
1116,Reign of Fire,2002,77710753,106399210.0
1117,Resident Evil,2002,45331273,134423285.0
1118,Scooby-Doo,2002,108795054,357850459.0
1119,Signs,2002,91572563,528777236.0
1120,Snow Dogs,2002,41445735,151403896.0
1121,Solaris,2002,60873423,19388882.0
1122,Spider-Man,2002,180029911,1064074398.0
1123,Spirit: Stallion of the Cimarron,2002,103614337,137956416.0
1124,Spun,2002,5828306,1324514.0
1125,Spy Kids 2: Island of Lost Dreams,2002,49216810,155060534.0
1126,Star Trek: Nemesis,2002,77710753,87182173.0
1127,Star Wars: Episode II - Attack of the Clones,2002,148945610,850538512.0
1128,The Adventures of Pluto Nash,2002,129517922,9189290.0
1129,The Banger Sisters,2002,12951792,49303870.0
1130,The Bourne Identity,2002,77710753,276261727.0
1131,The Dangerous Lives of Altar Boys,2002,15542151,2304492.0
1132,The Good Girl,2002,10361434,21831701.0
1133,The Hours,2002,32379480,125671845.0
1134,The Importance of Being Earnest,2002,19427688,10851194.0
1135,The Lord of the Rings: The Two Towers,2002,121746846,1200694576.0
1136,The Powerpuff Girls,2002,32379480,21274227.0
1137,The Quiet American,2002,25903584,34125645.0
1138,The Ring,2002,62168602,321487424.0
1139,The Rules of Attraction,2002,5180717,15281897.0
1140,The Santa Clause 2,2002,84186649,223840454.0
1141,The Sweetest Thing,2002,55692706,57808305.0
1142,The Transporter,2002,27198764,56895840.0
1143,The Tuxedo,2002,77710753,135255080.0
1144,Treasure Planet,2002,129517922,118897452.0
1145,Tuck Everlasting,2002,19427688,25054743.0
1146,Two Weeks Notice,2002,77710753,257796757.0
1147,We Were Soldiers,2002,90662545,148502998.0
1148,Whale Rider,2002,5569271,51667906.0
1149,White Oleander,2002,20722867,28050694.0
1150,xXx,2002,90662545,346071886.0
1151,A Beautiful Mind,2001,102635985,418002230.0
1152,A Knight&#39;s Tale,2001,53949684,132403823.0
1153,Along Came A Spider,2001,36843687,138373157.0
1154,American Outlaws,2001,46054609,17454678.0
1155,Antitrust,2001,39475379,23507863.0
1156,Artificial Intelligence: AI,2001,118426136,310408061.0
1157,Atlantis: The Lost Empire,2001,118426136,244811851.0
1158,Black Hawk Down,2001,125005366,210128869.0
1159,Blow,2001,39475379,109586673.0
1160,Bridget Jones&#39;s Diary,2001,32896149,370446373.0
1161,Don&#39;t Say A Word,2001,65792298,137490616.0
1162,Donnie Darko,2001,5921307,10127447.0
1163,Dr. Dolittle 2,2001,94740909,231722738.0
1164,Evolution,2001,105267677,129402834.0
1165,From Hell,2001,46054609,90414888.0
1166,Ghost World,2001,7237153,11528926.0
1167,Gosford Park,2001,23685227,54344576.0
1168,Hannibal,2001,114478598,460678038.0
1169,Harry Potter and the Sorcerer&#39;s Stone,2001,164480745,1282627914.0
1170,Hedwig and the Angry Inch,2001,7895076,4794811.0
1171,High Heels and Low Lifes,2001,13158460,298423.0
1172,Impostor,2001,52633838,8045394.0
1173,Jason X,2001,18421843,22305955.0
1174,Jay and Silent Bob Strike Back,2001,28948611,44426118.0
1175,Jeepers Creepers,2001,13158460,77554691.0
1176,Josie and the Pussycats,2001,28948611,18754529.0
